feature,importance
sensor_11,0.3218947375777742
sensor_4,0.20268859060736702
cycle,0.20008877556410615
sensor_12,0.08556315225391287
sensor_7,0.050525930682273144
sensor_9,0.04830345536346343
sensor_15,0.02872794638089208
sensor_20,0.013479313565376108
sensor_14,0.012931218856594135
sensor_2,0.009946404654891881
sensor_21,0.009762550335284953
sensor_17,0.0060346084381875794
sensor_3,0.005330180178520892
sensor_13,0.003433769156077556
sensor_8,0.0012099187114300346
setting_1,7.944767384799619e-05
sensor_1,0.0
sensor_5,0.0
setting_2,0.0
setting_3,0.0
sensor_6,0.0
sensor_10,0.0
sensor_16,0.0
sensor_19,0.0
sensor_18,0.0
